"","row","words_1970","n_1970","NA","words_1975","n_1975","NA","words_1980","n_1980","NA","words_1985","n_1985","NA","words_1990","n_1990","NA","words_1995","n_1995","NA","words_2000","n_2000","NA","words_2005","n_2005","NA","words_2010","n_2010","NA","words_2015","n_2015","NA"
"45",45,"national",63,0.00312701642924505,"christian",71,0.00232558139534884,"civil",150,0.00239796652438732,"de",140,0.00208060872666746,"power",151,0.00230263659514769,"district",158,0.00249498634073934,"assailants",324,0.00274276426618358,"gunmen",846,0.00323442715083671,"afghanistan",2006,0.00335813149947435,"officers",628,0.00361443009415936
"46",46,"pistols",62,0.00307738124782846,"bldg",67,0.00219456272518834,"home",150,0.00239796652438732,"guard",137,0.00203602425395316,"home",150,0.0022873873461732,"responsibility",155,0.00244761318237087,"fire",324,0.00274276426618358,"pakistan",843,0.00322295755101105,"station",1827,0.00305847769169473,"civilian",623,0.00358565278449248
"47",47,"san",62,0.00307738124782846,"leader",67,0.00219456272518834,"grenades",148,0.00236599363739549,"dynamite",131,0.00194685530852455,"stones",141,0.00215014410540281,"center",152,0.0024002400240024,"kashmir",313,0.00264964572628228,"school",742,0.00283681435688042,"casualties",1811,0.00303169299379265,"neighborhood",622,0.00357989732255911
"48",48,"offices",61,0.00302774606641187,"vehicles",67,0.00219456272518834,"peasants",145,0.00231803430690774,"abortion",128,0.00190227083581025,"officer",138,0.00210439635847934,"school",149,0.00235286686563393,"grenade",308,0.00260731911723624,"suicide",725,0.00277181995786834,"security",1757,0.0029412946383731,"mortars",614,0.00353385362709211
"49",49,"fire",60,0.00297811088499528,"policeman",66,0.00216180805764822,"electric",144,0.00230204786341183,"grenades",128,0.00190227083581025,"headquarters",136,0.00207389786053037,"turkey",146,0.00230549370726546,"town",305,0.00258192315180862,"security",716,0.00273741115839135,"defused",1682,0.00281574136695706,"person",575,0.00330939061169049
"50",50,"puerto",60,0.00297811088499528,"president",66,0.00216180805764822,"french",143,0.00228606141991591,"school",127,0.00188740934490548,"ak",135,0.00205864861155588,"killing",145,0.00228970265447597,"vehicle",305,0.00258192315180862,"village",700,0.00267623995932115,"military",1649,0.002760497927534,"rockets",567,0.0032633469162235
"51",51,"selective",60,0.00297811088499528,"rifle",66,0.00216180805764822,"owned",132,0.00211021054146084,"hotel",123,0.00182796338128641,"dynamite",134,0.00204339936258139,"security",144,0.00227391160168648,"indian",304,0.00257345782999941,"taliban",694,0.00265330075966983,"attacked",1628,0.00272534301153751,"house",565,0.00325183599235675
"52",52,"damaged",59,0.0029284757035787,"john",65,0.00212905339010809,"st",126,0.00201429188048535,"convoy",122,0.00181310189038164,"national",134,0.00204339936258139,"unidentified",143,0.00225812054889699,"weapons",295,0.00249726993371653,"grenade",692,0.00264565435978605,"government",1557,0.00260648591459699,"market",561,0.00322881414462325
"53",53,"james",59,0.0029284757035787,"puerto",65,0.00212905339010809,"rifle",123,0.0019663325499976,"personnel",122,0.00181310189038164,"city",132,0.00201290086463242,"northern",142,0.00224232949610751,"al",293,0.00248033929009811,"fire",690,0.00263800795990228,"forces",1463,0.00244912581442222,"noted",557,0.00320579229688975
"54",54,"r.o.t.c",59,0.0029284757035787,"newspaper",64,0.00209629872256797,"jose",121,0.00193435966300577,"public",122,0.00181310189038164,"minister",130,0.00198240236668344,"reported",142,0.00224232949610751,"injuries",293,0.00248033929009811,"unidentified",688,0.0026303615600185,"grenade",1423,0.002382164069667,"officer",544,0.00313097129175588
"55",55,"department",57,0.00282920534074552,"branch",61,0.00199803471994759,"mine",121,0.00193435966300577,"pylon",122,0.00181310189038164,"abortion",124,0.00189090687283651,"residence",142,0.00224232949610751,"iraq",287,0.00242954735924286,"station",667,0.00255007436123887,"laden",1405,0.00235203128452715,"attacked",542,0.00311946036788913
"56",56,"branch",51,0.00253139425224599,"director",60,0.00196528005240747,"attacked",119,0.00190238677601394,"embassy",120,0.00178337890857211,"israeli",124,0.00189090687283651,"armed",140,0.00221074739052853,"building",284,0.00240415139381524,"forces",662,0.00253095836152943,"school",1379,0.00230850615043626,"suspected",542,0.00311946036788913
"57",57,"company",51,0.00253139425224599,"molotov",60,0.00196528005240747,"el",118,0.00188640033251802,"towers",118,0.00175365592676257,"mortar",124,0.00189090687283651,"fire",137,0.00216337423216006,"home",283,0.00239568607200603,"soldiers",657,0.00251184236182,"shiite",1374,0.00230013593234185,"islamic",512,0.00294679650988788
"58",58,"set",51,0.00253139425224599,"united",58,0.00189977071732722,"government",112,0.00179048167154253,"civil",117,0.00173879443585781,"school",122,0.00186040837488754,"forces",137,0.00216337423216006,"fired",282,0.00238722075019682,"bombing",635,0.00242773196309847,"rocket",1364,0.00228339549615305,"attributed",510,0.00293528558602113
"59",59,"guard",50,0.0024817590708294,"airlines",56,0.00183426138224697,"leader",112,0.00179048167154253,"train",112,0.00166448698133397,"catholic",115,0.00175366363206612,"offices",137,0.00216337423216006,"bank",277,0.00234489414115078,"party",627,0.00239714636356338,"devices",1352,0.00226330697272648,"related",499,0.00287197550475401
"60",60,"white",50,0.0024817590708294,"public",55,0.00180150671470685,"la",111,0.00177449522804662,"knife",111,0.0016496254904292,"district",114,0.00173841438309163,"home",136,0.00214758317937057,"liberation",271,0.00229410221029552,"wounding",623,0.00238185356379583,"speculated",1352,0.00226330697272648,"wounded",493,0.00283744273315376
"61",61,"african",49,0.00243212388941282,"dynamite",54,0.00176875204716672,"bombs",110,0.0017585087845507,"municipal",111,0.0016496254904292,"hotel",111,0.00169266663616817,"truck",136,0.00214758317937057,"chechnya",266,0.00225177560124948,"india",617,0.0023589143641445,"convoy",1347,0.00225493675463208,"larger",486,0.00279715449962014
"62",62,"headquarters",49,0.00243212388941282,"officer",52,0.00170324271208647,"headquarters",104,0.00166259012357521,"company",110,0.00163476399952443,"carrying",109,0.00166216813821919,"leader",135,0.00213179212658108,"russian",266,0.00225177560124948,"officers",616,0.00235509116420261,"soldier",1339,0.00224154440568103,"violence",485,0.00279139903768676
"63",63,"pistol",48,0.00238248870799623,"school",52,0.00170324271208647,"company",103,0.00164660368007929,"jose",108,0.0016050410177149,"local",108,0.0016469188892447,"villagers",135,0.00213179212658108,"detonated",260,0.00220098367039423,"injuring",602,0.00230156636501619,"rockets",1323,0.00221475970777895,"trend",482,0.00277413265188664
"64",64,"sabotage",48,0.00238248870799623,"plant",51,0.00167048804454635,"telephone",102,0.00163061723658338,"family",106,0.00157531803590536,"convoy",104,0.00158592189334675,"oil",131,0.00206862791542312,"bombs",258,0.00218405302677581,"damage",599,0.00229009676519053,"weapons",1300,0.00217625670454469,"carried",472,0.00271657803255289
"65",65,"suspected",47,0.00233285352657964,"city",50,0.00163773337700622,"explosives",101,0.00161463079308746,"railway",106,0.00157531803590536,"hostel",103,0.00157067264437226,"kosovo",128,0.00202125475705465,"armed",256,0.0021671223831574,"islamic",582,0.00222510236617844,"gunmen",1247,0.00208753239274403,"stated",448,0.0025784469461519
"66",66,"damage",45,0.00223358316374646,"antonio",49,0.0016049787094661,"plant",101,0.00161463079308746,"al",105,0.00156045654500059,"de",102,0.00155542339539778,"stones",128,0.00202125475705465,"authorities",250,0.00211633045230214,"thailand",568,0.00217157756699202,"shot",1218,0.00203898512779649,"military",443,0.00254966963648502
